Timestamp,Speed,SOC,Pack_Voltage,Pack_Current,Motor_Temp,Controller_Temp
1762013160.78,60.32,60.01,50.93,36.14,59.3,47.5
1762013161.29,61.61,61.43,51.08,26.05,58.5,48.2
1762013161.79,62.13,62.97,51.24,16.74,57.4,49.0
1762013162.31,61.83,64.72,51.42,9.20,55.9,49.9
1762013162.84,60.70,66.59,51.62,5.34,54.1,50.8
1762013163.37,58.79,68.56,51.82,5.84,52.1,51.8
1762013163.90,56.26,70.60,52.04,10.61,49.9,52.8
1762013164.40,53.44,72.56,52.24,18.27,47.7,53.8
1762013164.93,50.21,74.68,52.47,28.39,45.4,54.8
1762013165.46,46.93,76.80,52.69,38.82,43.0,55.9
1762013165.99,43.87,78.89,52.91,47.64,40.7,56.9
1762013166.52,41.19,80.95,53.12,53.37,38.4,58.0
1762013167.05,39.13,82.93,53.33,54.96,36.4,59.0
1762013167.58,37.79,84.83,53.53,52.13,34.6,59.9
1762013168.11,37.29,86.62,53.72,45.38,33.0,60.8
1762013168.64,37.65,88.28,53.89,35.88,31.7,61.6
1762013169.17,38.86,89.79,54.05,25.35,30.8,62.4
1762013169.70,40.84,91.13,54.19,15.62,30.2,63.1
1762013170.23,43.41,92.29,54.32,8.50,30.0,63.6
1762013170.76,46.44,93.26,54.42,5.16,30.2,64.1
1762013171.29,49.71,94.02,54.50,6.22,30.7,64.5
1762013171.82,52.94,94.57,54.55,11.46,31.6,64.8
1762013172.35,55.98,94.89,54.59,20.03,32.9,64.9
1762013172.88,58.58,95.00,54.60,30.38,34.5,65.0
1762013173.41,60.55,94.88,54.59,40.65,36.3,64.9
1762013173.91,61.72,94.56,54.55,48.61,38.2,64.8
1762013174.46,62.14,94.02,54.50,53.77,40.4,64.5
1762013174.99,61.66,93.22,54.41,54.79,42.8,64.1
1762013175.52,60.35,92.24,54.31,51.26,45.2,63.6
1762013176.05,58.30,91.08,54.19,43.98,47.5,63.0
1762013176.55,55.81,89.81,54.05,34.79,49.7,62.4
1762013177.08,52.77,88.30,53.90,24.29,51.9,61.7
1762013177.61,49.50,86.65,53.72,14.77,53.9,60.8
1762013178.14,46.26,84.87,53.54,7.97,55.7,59.9
1762013178.67,43.25,82.97,53.34,5.06,57.3,59.0
1762013179.20,40.70,80.98,53.13,6.56,58.5,58.0
1762013179.73,38.76,78.92,52.91,12.26,59.3,57.0
1762013180.26,37.60,76.82,52.69,21.08,59.9,55.9
1762013180.79,37.29,74.71,52.47,31.45,60.0,54.9
1762013181.32,37.84,72.59,52.25,41.60,59.8,53.8
1762013181.82,39.12,70.62,52.04,49.30,59.2,52.8
1762013182.35,41.20,68.58,51.83,54.13,58.2,51.8
