Timestamp,Speed,SOC,Pack_Voltage,Pack_Current,Motor_Temp,Controller_Temp
1761959297.75,41.17,91.05,54.19,43.79,42.4,63.0
1761959298.28,43.84,89.69,54.04,33.94,40.1,62.3
1761959298.81,46.92,88.17,53.88,23.43,37.9,61.6
1761959299.34,50.20,86.50,53.71,14.07,35.9,60.8
1761959299.87,53.42,84.71,53.52,7.56,34.1,59.9
1761959300.40,56.40,82.81,53.32,5.01,32.6,58.9
1761959300.93,58.90,80.82,53.11,6.88,31.4,57.9
1761959301.45,60.77,78.77,52.90,12.80,30.6,56.9
1761959301.99,61.87,76.66,52.67,21.82,30.1,55.8
1761959302.52,62.12,74.55,52.45,32.27,30.0,54.8
1761959303.04,61.50,72.44,52.23,42.27,30.3,53.7
1761959303.57,60.07,70.36,52.01,50.15,30.9,52.7
1761959304.10,57.91,68.33,51.80,54.45,31.9,51.7
1761959304.63,55.17,66.37,51.59,54.43,33.2,50.7
1761959305.16,52.07,64.52,51.40,50.10,34.9,49.8
1761959305.69,48.79,62.77,51.22,42.19,36.7,48.9
1761959306.22,45.56,61.16,51.05,32.10,38.8,48.1
1761959306.75,42.64,59.71,50.89,21.67,41.1,47.4
1761959307.28,40.21,58.43,50.76,12.72,43.4,46.7
1761959307.82,38.44,57.34,50.65,6.80,45.8,46.2
1761959308.34,37.46,56.45,50.55,5.02,48.2,45.7
1761959308.87,37.34,55.76,50.48,7.64,50.4,45.4
1761959309.40,38.08,55.29,50.43,14.26,52.6,45.1
1761959309.93,39.62,55.04,50.40,23.62,54.5,45.0
1761959310.46,41.87,55.02,50.40,34.11,56.2,45.0
1761959311.00,44.68,55.22,50.42,43.90,57.7,45.1
1761959311.53,47.83,55.64,50.47,51.22,58.8,45.3
1761959312.05,51.10,56.28,50.53,54.77,59.5,45.6
1761959312.58,54.29,57.12,50.62,53.96,59.9,46.1
1761959313.11,57.14,58.17,50.73,48.94,60.0,46.6
1761959313.61,59.37,59.33,50.85,41.09,59.6,47.2
1761959314.14,61.09,60.74,51.00,30.87,58.9,47.9
1761959314.64,61.97,62.21,51.16,21.06,57.9,48.6
1761959315.17,62.07,63.90,51.33,12.27,56.6,49.5
1761959315.70,61.32,65.73,51.53,6.59,54.9,50.4
1761959316.23,59.75,67.65,51.73,5.05,53.0,51.3
1761959316.76,57.47,69.67,51.94,7.97,50.9,52.3
1761959317.29,54.66,71.73,52.16,14.75,48.7,53.4
1761959317.82,51.49,73.85,52.38,24.30,46.3,54.4
1761959318.35,48.20,75.98,52.60,34.86,43.9,55.5
1761959318.88,45.02,78.08,52.82,44.51,41.5,56.5
1761959319.42,42.16,80.16,53.04,51.62,39.3,57.6
1761959319.94,39.85,82.17,53.25,54.87,37.2,58.6
1761959320.47,38.21,84.11,53.46,53.73,35.2,59.6
1761959321.00,37.38,85.94,53.65,48.38,33.6,60.5
1761959321.54,37.41,87.65,53.83,39.77,32.2,61.3
1761959322.06,38.29,89.22,53.99,29.47,31.1,62.1
1761959322.59,39.98,90.63,54.14,19.23,30.4,62.8
1761959323.12,42.34,91.86,54.27,10.91,30.0,63.4
1761959323.65,45.21,92.90,54.38,5.96,30.1,64.0
1761959324.18,48.40,93.74,54.47,5.26,30.5,64.4
1761959324.71,51.69,94.38,54.53,8.96,31.2,64.7
1761959325.24,54.83,94.79,54.58,16.36,32.4,64.9
1761959325.77,57.62,94.99,54.60,26.19,33.8,65.0
1761959326.30,59.86,94.95,54.60,36.71,35.5,65.0
1761959326.83,61.38,94.70,54.57,46.00,37.5,64.8
1761959327.36,62.09,94.23,54.52,52.47,39.6,64.6
1761959327.89,61.94,93.54,54.45,54.99,41.9,64.3
1761959328.42,60.94,92.64,54.35,53.09,44.3,63.8
1761959328.95,59.16,91.54,54.24,47.10,46.7,63.3
1761959329.48,56.72,90.26,54.10,38.11,49.0,62.6
1761959330.01,53.78,88.81,53.95,27.66,51.2,61.9
1761959330.54,50.57,87.20,53.78,17.63,53.3,61.1
1761959331.07,47.31,85.46,53.60,9.82,55.2,60.2
1761959331.59,44.20,83.60,53.40,5.54,56.8,59.3
1761959332.13,41.48,81.65,53.20,5.58,58.1,58.3
1761959332.65,39.33,79.62,52.99,9.92,59.1,57.3
1761959333.18,37.91,77.54,52.77,17.81,59.7,56.3
1761959333.71,37.30,75.42,52.54,27.89,60.0,55.2
1761959334.24,37.56,73.31,52.32,38.30,59.9,54.2
1761959334.77,38.67,71.20,52.10,47.29,59.4,53.1
1761959335.30,40.55,69.15,51.89,53.18,58.5,52.1
1761959335.83,43.07,67.16,51.68,54.98,57.3,51.1
1761959336.36,46.06,65.26,51.48,52.35,55.8,50.1
1761959336.89,49.29,63.47,51.29,45.77,54.1,49.2
1761959337.40,52.38,61.89,51.12,36.96,52.2,48.4
1761959337.93,55.48,60.36,50.96,26.42,50.0,47.7
1761959338.45,58.16,59.00,50.82,16.56,47.7,47.0
1761959338.98,60.25,57.82,50.70,9.07,45.3,46.4
1761959339.52,61.61,56.83,50.59,5.29,42.9,45.9
1761959340.05,62.13,56.05,50.51,5.91,40.6,45.5
1761959340.58,61.79,55.48,50.45,10.79,38.4,45.2
1761959341.10,60.61,55.13,50.41,19.02,36.3,45.1
1761959341.63,58.66,55.00,50.40,29.26,34.5,45.0
1761959342.17,56.08,55.10,50.41,39.62,32.9,45.0
1761959342.70,53.06,55.42,50.44,48.27,31.7,45.2
1761959343.23,49.82,55.96,50.50,53.67,30.8,45.5
