Timestamp,Speed,SOC,Pack_Voltage,Pack_Current,Motor_Temp,Controller_Temp
1761956049.87,55.63,71.06,52.09,12.17,49.4,53.0
1761956050.40,52.52,73.17,52.31,21.06,47.1,54.1
1761956050.93,49.25,75.30,52.53,31.49,44.7,55.1
1761956051.46,46.00,77.42,52.75,41.65,42.3,56.2
1761956051.99,43.03,79.50,52.97,49.70,40.0,57.2
1761956052.52,40.52,81.53,53.19,54.29,37.8,58.3
1761956053.05,38.65,83.50,53.39,54.57,35.8,59.3
1761956053.58,37.55,85.36,53.59,50.52,34.1,60.2
1761956054.11,37.30,87.12,53.77,42.81,32.6,61.1
1761956054.64,37.92,88.74,53.94,32.81,31.4,61.9
1761956055.17,39.36,90.20,54.10,22.35,30.6,62.6
1761956055.70,41.53,91.49,54.23,13.22,30.1,63.2
1761956056.23,44.27,92.59,54.35,7.08,30.0,63.8
1761956056.76,47.39,93.50,54.44,5.00,30.3,64.3
1761956057.29,50.66,94.20,54.52,7.35,31.0,64.6
1761956057.82,53.88,94.69,54.57,13.71,32.0,64.8
1761956058.35,56.81,94.95,54.59,23.01,33.3,65.0
1761956058.86,59.11,94.99,54.60,32.90,34.9,65.0
1761956059.39,60.92,94.82,54.58,42.90,36.8,64.9
1761956059.91,61.93,94.42,54.54,50.55,38.8,64.7
1761956060.44,62.09,93.81,54.47,54.59,41.1,64.4
1761956060.97,61.39,92.98,54.39,54.27,43.4,64.0
1761956061.51,59.87,91.95,54.28,49.63,45.8,63.5
1761956062.01,57.79,90.81,54.16,42.08,48.0,62.9
1761956062.54,55.03,89.42,54.01,31.99,50.3,62.2
1761956063.07,51.91,87.88,53.85,21.59,52.5,61.4
1761956063.60,48.62,86.18,53.67,12.62,54.4,60.6
1761956064.13,45.42,84.37,53.48,6.78,56.2,59.7
1761956064.66,42.52,82.45,53.28,5.02,57.6,58.7
1761956065.19,40.11,80.44,53.07,7.71,58.7,57.7
1761956065.69,38.46,78.49,52.87,13.87,59.5,56.7
1761956066.21,37.47,76.39,52.65,23.12,59.9,55.7
1761956066.71,37.32,74.39,52.44,33.02,60.0,54.7
1761956067.22,37.93,72.41,52.23,42.42,59.7,53.7
1761956067.74,39.38,70.33,52.01,50.24,59.1,52.7
1761956068.27,41.54,68.31,51.80,54.47,58.1,51.7
1761956068.80,44.26,66.36,51.59,54.42,56.8,50.7
1761956069.33,47.37,64.51,51.40,50.07,55.1,49.8
1761956069.86,50.65,62.76,51.21,42.14,53.3,48.9
1761956070.39,53.87,61.15,51.05,32.05,51.2,48.1
1761956070.89,56.64,59.78,50.90,22.19,49.1,47.4
1761956071.42,59.10,58.49,50.77,13.10,46.7,46.7
1761956071.95,60.90,57.39,50.65,7.03,44.3,46.2
1761956072.47,61.92,56.49,50.56,5.00,42.0,45.7
1761956073.00,62.10,55.79,50.48,7.41,39.7,45.4
1761956073.53,61.40,55.31,50.43,13.81,37.5,45.2
1761956074.06,59.91,55.05,50.41,23.01,35.6,45.0
1761956074.59,57.68,55.01,50.40,33.55,33.8,45.0
1761956075.12,54.91,55.20,50.42,43.41,32.4,45.1
1761956075.65,51.76,55.61,50.46,50.92,31.3,45.3
1761956076.18,48.48,56.24,50.53,54.70,30.5,45.6
1761956076.71,45.28,57.08,50.62,54.10,30.1,46.0
1761956077.24,42.41,58.11,50.73,49.27,30.0,46.6
1761956077.77,40.02,59.35,50.86,40.98,30.4,47.2
1761956078.30,38.32,60.75,51.00,30.75,31.1,47.9
1761956078.83,37.42,62.31,51.17,20.42,32.1,48.7
