Timestamp,Speed,SOC,Pack_Voltage,Pack_Current,Motor_Temp,Controller_Temp
1761947359.49,40.27,91.54,54.24,47.08,43.3,63.3
1761947360.02,42.74,90.24,54.10,37.95,41.0,62.6
1761947360.56,45.67,88.79,53.95,27.53,38.7,61.9
1761947361.09,48.96,87.14,53.77,17.32,36.6,61.1
1761947361.62,52.23,85.40,53.59,9.59,34.8,60.2
1761947362.15,55.33,83.53,53.40,5.46,33.2,59.3
1761947362.68,58.03,81.57,53.19,5.67,31.9,58.3
1761947363.21,60.16,79.54,52.98,10.18,30.9,57.3
1761947363.74,61.52,77.53,52.77,17.85,30.3,56.3
1761947364.31,62.12,75.39,52.54,28.03,30.0,55.2
1761947364.84,61.82,73.19,52.31,38.88,30.1,54.1
1761947365.34,60.64,71.06,52.09,47.83,30.7,53.0
1761947365.87,58.71,69.00,51.87,53.46,31.5,52.0
1761947366.40,56.15,67.02,51.66,54.94,32.8,51.0
1761947366.93,53.13,65.12,51.46,51.99,34.3,50.1
1761947367.46,49.89,63.34,51.28,45.17,36.1,49.2
1761947367.99,46.63,61.68,51.10,35.63,38.1,48.3
1761947368.52,43.58,60.18,50.94,25.11,40.3,47.6
1761947369.05,40.96,58.84,50.80,15.46,42.6,46.9
1761947369.58,38.97,57.69,50.68,8.41,45.0,46.3
1761947370.11,37.71,56.73,50.58,5.14,47.3,45.9
1761947370.64,37.28,55.97,50.50,6.27,49.7,45.5
1761947371.17,37.72,55.43,50.44,11.57,51.9,45.2
1761947371.70,39.00,55.10,50.41,20.14,53.9,45.1
1761947372.23,41.02,55.00,50.40,30.44,55.7,45.0
1761947372.76,43.65,55.12,50.41,40.69,57.2,45.1
1761947373.29,46.71,55.47,50.45,49.06,58.4,45.2
1761947373.82,49.97,56.03,50.51,54.02,59.3,45.5
1761947374.35,53.21,56.81,50.59,54.74,59.8,45.9
1761947374.88,56.20,57.79,50.69,51.10,60.0,46.4
1761947375.41,58.75,58.96,50.82,43.73,59.8,47.0
1761947375.94,60.67,60.32,50.96,33.90,59.2,47.7
1761947376.46,61.82,61.83,51.12,23.45,58.2,48.4
1761947376.99,62.13,63.50,51.29,14.09,56.9,49.2
1761947377.52,61.57,65.28,51.48,7.59,55.3,50.1
1761947378.02,60.29,67.07,51.67,5.04,53.6,51.0
1761947378.56,58.21,69.06,51.88,6.65,51.6,52.0
1761947379.09,55.54,71.12,52.09,12.40,49.3,53.1
1761947379.62,52.46,73.22,52.31,21.26,47.0,54.1
1761947380.15,49.19,75.34,52.54,31.68,44.6,55.2
1761947380.68,45.95,77.45,52.76,41.79,42.3,56.2
1761947381.20,42.98,79.54,52.98,49.82,40.0,57.3
1761947381.74,40.48,81.57,53.19,54.33,37.8,58.3
1761947382.27,38.62,83.53,53.40,54.54,35.8,59.3
1761947382.77,37.58,85.29,53.58,50.75,34.1,60.1
1761947383.30,37.30,87.07,53.77,43.08,32.6,61.0
1761947383.83,37.89,88.69,53.94,33.12,31.4,61.8
1761947384.36,39.31,90.16,54.09,22.64,30.6,62.6
1761947384.89,41.46,91.46,54.23,13.44,30.1,63.2
1761947385.43,44.20,92.57,54.35,7.18,30.0,63.8
1761947385.96,47.32,93.49,54.44,5.00,30.3,64.2
