Timestamp,Speed,SOC,Pack_Voltage,Pack_Current,Motor_Temp,Controller_Temp
1761956868.11,47.01,76.75,52.68,38.57,43.0,55.9
1761956868.62,44.06,78.76,52.89,47.14,40.8,56.9
1761956869.14,41.37,80.80,53.11,53.09,38.6,57.9
1761956869.67,39.25,82.79,53.32,54.99,36.5,58.9
1761956870.20,37.86,84.70,53.52,52.47,34.7,59.8
1761956870.74,37.29,86.50,53.71,45.91,33.1,60.8
1761956871.26,37.60,88.17,53.88,36.58,31.8,61.6
1761956871.79,38.75,89.69,54.04,26.09,30.8,62.3
1761956872.32,40.66,91.04,54.18,16.29,30.2,63.0
1761956872.85,43.21,92.21,54.31,8.90,30.0,63.6
1761956873.38,46.22,93.19,54.41,5.25,30.2,64.1
1761956873.91,49.45,93.97,54.49,5.98,30.7,64.5
1761956874.44,52.71,94.53,54.55,10.96,31.6,64.8
1761956874.97,55.74,94.88,54.59,19.20,32.8,64.9
1761956875.48,58.28,95.00,54.60,29.02,34.2,65.0
1761956876.01,60.33,94.91,54.59,39.37,36.0,65.0
1761956876.53,61.65,94.59,54.56,48.06,38.0,64.8
1761956877.06,62.14,94.06,54.50,53.56,40.2,64.5
1761956877.59,61.76,93.32,54.42,54.92,42.5,64.2
1761956878.12,60.54,92.36,54.32,51.86,44.9,63.7
1761956878.65,58.57,91.22,54.20,44.96,47.3,63.1
1761956879.18,55.98,89.89,54.06,35.40,49.6,62.4
1761956879.71,52.94,88.39,53.91,24.86,51.8,61.7
1761956880.24,49.69,86.74,53.73,15.25,53.8,60.9
1761956880.74,46.62,85.07,53.56,8.56,55.5,60.0
1761956881.27,43.58,83.19,53.36,5.17,57.1,59.1
1761956881.80,40.96,81.21,53.15,6.17,58.3,58.1
1761956882.33,38.96,79.17,52.94,11.38,59.3,57.1
1761956882.86,37.70,77.08,52.72,19.90,59.8,56.0
1761956883.39,37.28,74.95,52.49,30.25,60.0,55.0
1761956883.92,37.74,72.83,52.27,40.52,59.8,53.9
1761956884.45,39.02,70.75,52.05,48.90,59.2,52.9
1761956884.98,41.06,68.70,51.84,53.96,58.3,51.9
1761956885.51,43.68,66.74,51.63,54.78,57.0,50.9
1761956886.04,46.74,64.86,51.43,51.22,55.5,49.9
1761956886.57,50.00,63.09,51.25,43.92,53.6,49.0
1761956887.10,53.24,61.46,51.08,34.15,51.6,48.2
1761956887.63,56.26,59.97,50.92,23.59,49.4,47.5
1761956888.16,58.79,58.66,50.78,14.23,47.0,46.8
1761956888.66,60.61,57.59,50.67,7.92,44.8,46.3
1761956889.19,61.79,56.65,50.57,5.05,42.4,45.8
1761956889.72,62.13,55.91,50.50,6.61,40.1,45.5
1761956890.25,61.60,55.38,50.44,12.33,37.9,45.2
1761956890.78,60.24,55.08,50.41,21.18,35.9,45.0
1761956891.31,58.14,55.00,50.40,31.58,34.1,45.0
1761956891.84,55.45,55.15,50.42,41.72,32.6,45.1
1761956892.37,52.38,55.51,50.45,49.73,31.5,45.3
1761956892.90,49.11,56.10,50.52,54.30,30.6,45.6
1761956893.43,45.89,56.90,50.60,54.57,30.1,45.9
1761956893.96,42.93,57.90,50.70,50.50,30.0,46.4
1761956894.49,40.44,59.09,50.83,42.81,30.3,47.0
1761956895.02,38.60,60.46,50.97,32.85,30.9,47.7
1761956895.54,37.53,61.99,51.13,22.41,31.9,48.5
1761956896.07,37.31,63.67,51.31,13.30,33.2,49.3
1761956896.60,37.95,65.48,51.50,7.12,34.8,50.2
1761956897.14,39.42,67.39,51.70,5.00,36.7,51.2
1761956897.66,41.60,69.39,51.91,7.31,38.8,52.2
1761956898.19,44.34,71.45,52.13,13.62,41.0,53.2
1761956898.73,47.48,73.56,52.35,22.89,43.4,54.3
1761956899.26,50.76,75.68,52.57,33.37,45.8,55.3
1761956899.79,53.97,77.79,52.79,43.28,48.1,56.4
1761956900.31,56.87,79.86,53.01,50.79,50.4,57.4
1761956900.84,59.28,81.89,53.22,54.66,52.5,58.4
