Timestamp,Speed,SOC,Pack_Voltage,Pack_Current,Motor_Temp,Controller_Temp
1761945674.48,40.21,55.65,50.47,8.66,50.9,45.3
1761945675.00,41.63,55.23,50.42,15.76,52.9,45.1
1761945675.53,44.32,55.02,50.40,25.38,54.8,45.0
1761945676.04,47.99,55.03,50.40,35.61,56.5,45.0
1761945676.55,52.43,55.25,50.43,44.84,57.8,45.1
1761945677.05,57.26,55.67,50.47,51.52,58.8,45.3
1761945677.57,62.39,56.30,50.54,54.81,59.6,45.6
1761945678.07,67.27,57.11,50.62,54.02,59.9,46.1
1761945678.58,71.71,58.10,50.73,49.33,60.0,46.6
1761945679.08,75.38,59.26,50.85,41.58,59.7,47.1
1761945679.58,78.08,60.58,50.99,31.97,59.0,47.8
1761945680.09,79.64,62.04,51.14,22.06,58.1,48.5
1761945680.59,79.96,63.64,51.31,13.40,56.8,49.3
1761945681.09,79.03,65.35,51.49,7.41,55.3,50.2
1761945681.60,76.89,67.17,51.68,5.02,53.5,51.1
1761945682.10,73.69,69.06,51.88,6.64,51.6,52.0
1761945682.60,69.62,71.01,52.08,12.02,49.4,53.0
1761945683.11,64.94,73.01,52.29,20.27,47.2,54.0
1761945683.63,59.82,75.07,52.51,30.36,44.9,55.0
1761945684.13,54.85,77.08,52.72,40.12,42.7,56.0
1761945684.63,50.20,79.07,52.93,48.26,40.5,57.0
1761945685.14,46.16,81.02,53.13,53.50,38.4,58.0
1761945685.64,43.00,82.91,53.33,54.96,36.4,59.0
1761945686.14,40.91,84.71,53.52,52.43,34.7,59.9
1761945686.65,40.03,86.42,53.70,46.30,33.1,60.7
1761945687.15,40.40,88.01,53.87,37.57,31.9,61.5
1761945687.66,42.03,89.49,54.02,27.54,30.9,62.2
1761945688.16,44.78,90.80,54.16,17.98,30.3,62.9
1761945688.67,48.52,91.96,54.28,10.31,30.0,63.5
1761945689.17,52.96,92.94,54.38,5.85,30.1,64.0
1761945689.67,57.84,93.74,54.47,5.25,30.5,64.4
1761945690.18,62.86,94.34,54.53,8.61,31.2,64.7
1761945690.68,67.72,94.76,54.57,15.42,32.2,64.9
1761945691.19,72.09,94.97,54.60,24.58,33.6,65.0
1761945691.69,75.68,94.98,54.60,34.60,35.2,65.0
1761945692.20,78.28,94.78,54.58,43.87,37.0,64.9
1761945692.70,79.73,94.39,54.54,50.95,39.0,64.7
1761945693.21,79.92,93.79,54.47,54.63,41.1,64.4
1761945693.72,78.85,93.00,54.39,54.33,43.4,64.0
1761945694.22,76.57,92.03,54.29,50.11,45.6,63.5
1761945694.73,73.23,90.88,54.17,42.59,47.9,62.9
1761945695.24,69.04,89.57,54.03,33.04,50.1,62.3
1761945695.75,64.27,88.10,53.88,23.00,52.2,61.6
1761945696.26,59.22,86.50,53.71,14.07,54.1,60.8
1761945696.76,54.24,84.79,53.53,7.77,55.8,59.9
1761945697.27,49.61,82.97,53.34,5.06,57.3,59.0
1761945697.78,45.64,81.06,53.14,6.42,58.4,58.0
1761945698.29,42.61,79.10,52.93,11.62,59.3,57.1
1761945698.79,40.68,77.10,52.72,19.81,59.8,56.0
1761945699.30,40.00,75.07,52.51,29.65,60.0,55.0
1761945699.81,40.59,73.05,52.29,39.53,59.8,54.0
1761945700.31,42.43,71.04,52.08,47.87,59.3,53.0
1761945700.82,45.38,69.08,51.88,53.31,58.5,52.0
1761945701.32,49.25,67.19,51.68,54.98,57.4,51.1
1761945701.83,53.80,65.37,51.49,52.64,55.9,50.2
1761945702.34,58.77,63.65,51.31,46.61,54.3,49.3
